formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms
8a028492914fb63b01914fc761de1369,Badan Kependudukan dan Keluarga Berencana Nasional,CPNS,UMUM,PUSTAKAWAN AHLI PERTAMA,BKKBN Pusat,2,1,2785700,9024448,38
06eedcaf-adfc-4021-a3bd-07996cf72349,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA DKI JAKARTA,1,1,6862100,7726358,197
1d81f097-cb0a-4a40-9b51-7ceb159938a1,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KEPULAUAN RIAU,2,1,6862100,7726358,111
2b69b7c4-72d4-40bd-9a2c-e4967656f7e3,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,1,1,6862100,7726358,63
af5dc60d-2c19-46b1-9b94-d55d9b71d840,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SUMATERA SELATAN,1,1,6862100,7746358,37
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA TENGAH,1,1,6862100,7726358,246
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI UTARA,1,1,6862100,7726358,23
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
bc999a8a-8007-4197-8cde-21e7a5154831,Kementerian Dalam Negeri,CPNS,UMUM,PUSTAKAWAN AHLI PERTAMA,KEMENTERIAN DALAM NEGERI | SEKRETARIAT JENDERAL | PUSAT PENERANGAN,1,1,9000000,16000000,19
1ed85bdb-7c9e-4b8f-a6ad-075dc654ac04,Kementerian Kesehatan,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Kementerian Kesehatan | Direktorat Jenderal Pelayanan Kesehatan | Rumah Sakit Umum Pusat Dr. M. Djamil Padang | Direktorat  Layanan Operasional | Kelompok Jabatan Fungsional,2,1,3050000,3500000,15
06eedcaf-adfc-4021-a3bd-07996cf72349,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA DKI JAKARTA,1,1,6862100,7726358,197
1d81f097-cb0a-4a40-9b51-7ceb159938a1,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA KEPULAUAN RIAU,2,1,6862100,7726358,111
2b69b7c4-72d4-40bd-9a2c-e4967656f7e3,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | PUSAT PENGEMBANGAN SUMBER DAYA MANUSIA,1,1,6862100,7726358,63
af5dc60d-2c19-46b1-9b94-d55d9b71d840,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SUMATERA SELATAN,1,1,6862100,7746358,37
c2217cf9-f7a1-40b0-8658-d2b4501e6fd8,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA JAWA TENGAH,1,1,6862100,7726358,246
d0a93fee-65aa-4aaf-b60a-1e81632ac23c,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI UTARA,1,1,6862100,7726358,23
d8146961-5dc3-4766-8227-727c09976fd5,Badan Pelindungan Pekerja Migran Indonesia,CPNS,UMUM,ARSIPARIS AHLI PERTAMA,Badan Pelindungan Pekerja Migran Indonesia | BALAI PELAYANAN PELINDUNGAN PEKERJA MIGRAN INDONESIA SULAWESI SELATAN,1,1,6862100,7726358,66
bc999a8a-8007-4197-8cde-21e7a5154831,Kementerian Dalam Negeri,CPNS,UMUM,PUSTAKAWAN AHLI PERTAMA,KEMENTERIAN DALAM NEGERI | SEKRETARIAT JENDERAL | PUSAT PENERANGAN,1,1,9000000,16000000,19
