formasi_id,ins_nm,jp_nama,formasi_nm,jabatan_nm,lokasi_nm,jumlah_formasi,disable,gaji_min,gaji_max,jumlah_ms
8a028487919cdb310191a7cef1e82026,Kementerian Agama,CPNS,UMUM,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI BENGKULU,3,1,2785700,6104700,58
8a028487919cdb310191a7cfe927203c,Kementerian Agama,CPNS,UMUM,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI MALUKU,4,1,2785700,6104700,35
8a028487919cdb310191a7d0a8662043,Kementerian Agama,CPNS,UMUM,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI SUMATERA UTARA,4,1,2785700,6104700,48
8a028487919cdb310191a88b5b1f27ca,Kementerian Agama,CPNS,UMUM,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA TIMUR,6,1,2785700,6104700,110
8a028487919cdb310191a88c40e927d1,Kementerian Agama,CPNS,UMUM,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI SULAWESI BARAT,2,1,2785700,6104700,27
8a02849d91ab929d0191ace89b0c1680,Kementerian Agama,CPNS,PENYANDANG DISABILITAS,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI JAWA BARAT,2,1,2785700,6104700,4
8a038450919cdb3c0191a7dae3af2286,Kementerian Agama,CPNS,UMUM,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI JAMBI,1,1,2785700,6104700,45
8a038450919cdb3c0191a7dc1ab722c5,Kementerian Agama,CPNS,UMUM,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI NUSA TENGGARA BARAT,2,1,2785700,6104700,18
8a038450919cdb3c0191a84c66732a1e,Kementerian Agama,CPNS,UMUM,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI BANTEN,5,1,2785700,6104700,55
8a038450919cdb3c0191a84f51462a44,Kementerian Agama,CPNS,UMUM,GURU AHLI PERTAMA - GURU SEJARAH,KANWIL KEMENTERIAN AGAMA PROVINSI LAMPUNG,3,1,2785700,6104700,56
